1;Новообразование злокачественное метастатическое кожи тазобедренного сустава;C79.2;40487
10040432;Новообразование злокачественное метастатическое кожи туловища;C79.2;40488
10040433;Новообразование злокачественное метастатическое кожи уха;C79.2;40489
10040434;Новообразование злокачественное метастатическое кожи ушной раковины;C79.2;40490
10040435;Новообразование злокачественное метастатическое кожи челюсти;C79.2;40491
10040436;Новообразование злокачественное метастатическое кожи шейной области;C79.2;40492
10040437;Новообразование злокачественное метастатическое кожи щеки;C79.2;40493
10040438;Новообразование злокачественное метастатическое кожи ягодичной области;C79.2;40494
10040439;Новообразование злокачественное метастатическое козелка;C79.2;40495
10040440;Новообразование злокачественное метастатическое колена;C79.8;40496
10040441;Новообразование злокачественное метастатическое комиссуры гортани;C78.3;40497
10040442;Новообразование злокачественное метастатическое конечности;C79.8;40498
10040443;Новообразование злокачественное метастатическое конского хвоста;C79.4;40499
10040444;Новообразование злокачественное метастатическое конуса спинного мозга;C79.4;40500
10040445;Новообразование злокачественное метастатическое концевой нити спинного мозга;C79.4;40501
10040446;Новообразование злокачественное метастатическое кончика языка;C79.8;40502
10040447;Новообразование злокачественное метастатическое конъюнктивы;C79.4;40503
10040448;Новообразование злокачественное метастатическое копчика;C79.5;40504
10040449;Новообразование злокачественное метастатическое копчикового гломуса;C79.8;40505
10040450;Новообразование злокачественное метастатическое копчикового отдела позвоночника;C79.5;40506
10040451;Новообразование злокачественное метастатическое копчикового позвонка;C79.5;40507
10040452;Новообразование злокачественное метастатическое копчиковой области позвоночного столба;C79.5;40508
10040453;Новообразование злокачественное метастатическое корневого лимфатического узла;C77.1;40509
10040454;Новообразование злокачественное метастатическое корня языка;C79.8;40510
10040455;Новообразование злокачественное метастатическое коротких костей верхней конечности;C79.5;40511
10040456;Новообразование злокачественное метастатическое коротких костей нижней конечности;C79.5;40512
10040457;Новообразование злокачественное метастатическое короткой кости;C79.5;40513
10040458;Новообразование злокачественное метастатическое короткой кости верхних конечностей◊;C79.5;40514
10040459;Новообразование злокачественное метастатическое короткой кости нижних конечностей◊;C79.5;40515
10040460;Новообразование злокачественное метастатическое коры большого мозга;C79.3;40516
10040461;Новообразование злокачественное метастатическое коры головного мозга;C79.3;40517
10040462;Новообразование злокачественное метастатическое коры надпочечника;C79.7;40518
